Song,Artists,Artwork,BPM,Completion,Created,Good part Start,Key,Last edited,Last edited by,Looking For,Primary Genre,Project Type,Ready for Release,Release date,Secondary Genre
Flying on a Saturday,Artists%20d8112c5f6eb24b769b8c25efdabac692/Emma%20Shen%2033778393ee024c34b2be7ecfa33d9448.md,Music%20d5c3e8139e1f451c82a5f1a5db77846e/Flying_on_a_Saturday_Artwork.jpeg,,80%,"July 27, 2022 4:09 AM",1:16,,"August 20, 2022 2:17 AM",Marwan Refaat,,Singer/Songwriter,Song in Progress,Yes,,Pop
Kingdoms,Artists%20d8112c5f6eb24b769b8c25efdabac692/Emma%20Shen%2033778393ee024c34b2be7ecfa33d9448.md,,,60%,"August 12, 2022 1:43 PM",,,"August 19, 2022 6:58 PM",jonah steuer,,,Unproduced Song,No,,
The Recipe,Artists%20d8112c5f6eb24b769b8c25efdabac692/Emma%20Shen%2033778393ee024c34b2be7ecfa33d9448.md,,,,"August 20, 2022 2:45 AM",,,"August 20, 2022 4:02 AM",Emma Shen,,,,No,,
Guitar Idea,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,110,,"August 4, 2022 10:10 PM",,B♭ Minor,"August 19, 2022 8:44 PM",Marwan Refaat,"Female Vocalist, Lyricist, Male Vocalist",,Guitar Chords,No,,
Guitar Chords,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,140,,"August 19, 2022 7:49 PM",,B Major,"August 19, 2022 8:54 PM",Marwan Refaat,"Female Vocalist, Lyricist, Male Vocalist",,Guitar Chords,No,,
Island Guitar,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,88,,"August 19, 2022 8:06 PM",,B Major,"August 19, 2022 8:08 PM",jonah steuer,"Female Vocalist, Lyricist, Male Vocalist",,Guitar Chords,No,,
Bossa Guitar,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,127,,"August 19, 2022 8:16 PM",,A♭ Minor,"August 19, 2022 8:32 PM",jonah steuer,"Female Vocalist, Lyricist, Male Vocalist",,Guitar Chords,No,,
Foresty Guitar,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,129,,"August 19, 2022 8:18 PM",,C Major,"August 19, 2022 8:38 PM",Marwan Refaat,"Female Vocalist, Lyricist, Male Vocalist",,Guitar Chords,No,,
"Retro Melody ",Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,106,,"August 19, 2022 8:58 PM",,A♭ Major,"August 19, 2022 9:00 PM",jonah steuer,"Female Vocalist, Lyricist, Male Vocalist",,Guitar Chords,No,,
VTOL,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,100,,"August 10, 2022 1:48 AM",,F Major,"August 19, 2022 7:29 PM",jonah steuer,,,Writing Song,No,,
Ride the Rollercoaster,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"August 10, 2022 12:23 AM",,,"August 19, 2022 7:29 PM",jonah steuer,,,Writing Song,No,,
More than Friends with Benefits,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"August 10, 2022 12:25 AM",,,"August 19, 2022 7:30 PM",jonah steuer,"Female Vocalist, Lyricist, Male Vocalist",,Beat,No,,
Brain Terrain,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"August 10, 2022 12:30 AM",,,"August 19, 2022 7:30 PM",jonah steuer,,,Writing Song,No,,
Demons Could be Friends,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,100,,"August 10, 2022 12:32 AM",,,"August 19, 2022 7:30 PM",jonah steuer,,,Writing Song,No,,
Exotic Natives,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"August 10, 2022 12:35 AM",,,"August 19, 2022 7:31 PM",jonah steuer,,,Writing Song,No,,
Money Printer Out of Ink,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"August 10, 2022 12:36 AM",,,"August 19, 2022 7:31 PM",jonah steuer,,,Writing Song,No,,
Player Two,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,173,,"August 10, 2022 12:38 AM",,,"August 10, 2022 11:46 AM",Marwan Refaat,,,,No,,
GIFs I can’t Delete,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"August 10, 2022 12:41 AM",,,"August 10, 2022 11:46 AM",Marwan Refaat,,,,No,,
Miss the Beat,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"August 10, 2022 12:51 AM",,,"August 10, 2022 11:45 AM",Marwan Refaat,,,,No,,
Bouquets Out of Land,Artists%20d8112c5f6eb24b769b8c25efdabac692/Emma%20Salinas%20afe649bb400e4874a53380ccef4e5d71.md,,,,"August 10, 2022 1:50 PM",,,"August 10, 2022 1:54 PM",Marwan Refaat,,,,No,,
